"idIngredient","idRecipe","libelle"
"0","0","1 cube de bouillon de légumes"
"0","41","2 cubes de bouillon de boeuf"
"0","67","1 cube de bouillon de poule"
"0","77","1 cube de bouillon de volaille"
"0","89","1 cube de bouillon"
"0","167","1 cube de bouillon de légumes ou un Kub Or"
"0","226","1 cube de bouillon de volaille"
"0","269","1 cube de bouillon (légume ou volaille)"
"0","305","2 cubes de bouillon de poule"
"0","336","2 cubes de bouillon (légumes et épices)"
"0","419","1 cube de bouillon de poule"
"0","454","1 cube de bouillon de volaille"
"0","455","1 cube de bouillon de volaille"
"0","474","2 cubes de bouillon de poule"
"0","541","1 cube de bouillon de boeuf"
"0","559","1 cube de bouillon"
"0","665","1 cube de bouillon de volaille"
"0","696","50 cl de cube de bouillon"
"0","699","1 cube de bouillon de volaille"
"0","840","1 cube de bouillon de légumes"
"0","853","2 cubes de bouillon de légumes"
"0","865","2 cubes de bouillon de volaille dégraissé"
"0","866","2 cubes de bouillon culinaire"
"0","884","2 cubes de bouillon dégraissé"
"0","940","1 cube de bouillon ail_basilic"
"0","995","1 cube de bouillon de viande"
"1","0","2 carottes"
"1","1","1 carotte"
"1","32","200 g de carotte"
"1","41","5 carottes"
"1","80","6 carottes"
"1","94","1 carotte"
"1","122","4 carottes"
"1","136","1 carotte"
"1","145","1 carotte"
"1","146","2 carottes"
"1","162","2 carottes"
"1","165","500 g de carotte"
"1","173","4 carottes"
"1","192","2 carottes"
"1","208","1 kg de carotte"
"1","210","3 carottes"
"1","212","200 g de carotte"
"1","214","4 carottes"
"1","219","300 g de carotte râpées (3 à 4 grosses carottes)"
"1","224","5 carottes moyennes"
"1","226","2 carottes"
"1","232","6 carottes"
"1","255","3 carottes"
"1","265","250 g de carotte râpées"
"1","269","3 carottes"
"1","282","1 carotte"
"1","288","600 g de carotte"
"1","289","2 carottes"
"1","298","1 carotte"
"1","303","1 carotte"
"1","310","6 carottes de taille moyenne"
"1","313","4 carottes"
"1","316","1 carotte"
"1","346","1 carotte"
"1","368","3 carottes"
"1","390","6 carottes"
"1","394","1 carotte"
"1","402","1 carotte coupée en bâtonnets"
"1","420","8 carottes en botte"
"1","422","1 carotte"
"1","453","2 carottes coupées en rondelles"
"1","462","600 g de carotte"
"1","475","1 carotte"
"1","479","10 carottes environ"
"1","496","2 carottes"
"1","502","12 carottes (comptez-en 3 par personne environ)"
"1","514","2 carottes"
"1","522","1 carotte moyennes"
"1","540","1 carotte coupée très fin"
"1","541","6 carottes"
"1","551","250 g de carotte râpées"
"1","561","  de carotte ou de pomme de terre, tous cuits"
"1","604","5 carottes"
"1","616","4 carottes"
"1","623","1.5 kg de carotte"
"1","634","3 carottes"
"1","651","600 g de carotte"
"1","671","600 g de carotte coupées en rondelles"
"1","685","2 carottes"
"1","704","2 carottes"
"1","705","1 carotte"
"1","712","500 g de carotte"
"1","730","5 carottes"
"1","754","3 carottes en rondelles"
"1","756","300 g de carotte"
"1","758","3 carottes"
"1","778","300 g de carotte"
"1","800","2 carottes"
"1","808","1 carotte"
"1","815","8 carottes"
"1","819","5 carottes"
"1","820","2 kg de carotte grossièrement hachées"
"1","826","300 g de carotte"
"1","866","4 carottes"
"1","903","1 carotte"
"1","906","2 carottes et 1 navet"
"1","907","800 g de carotte"
"1","919","1 carotte"
"1","920","2 carottes moyennes"
"1","936","3 carottes"
"1","942","2 carottes"
"1","965","3 carottes"
"1","984","6 carottes"
"2","0","1 oignon jaune"
"2","1","3 oignons jaunes"
"2","17","2 oignons jaunes"
"2","144","2 oignons jaunes"
"2","151","1 oignon jaune"
"2","332","4 oignons jaunes"
"2","364","2 oignons jaunes"
"2","474","1 oignon jaune"
"2","774","4 oignons jaunes"
"2","984","2 oignons jaunes"
"3","0","1 petit pot de crème fraîche"
"3","7","2 c.à.s de crème fraîche"
"3","10","10 cl de crème fraîche"
"3","11","2 c.à.s de crème fraîche"
"3","21","25 cl de crème fraîche"
"3","33","50 cl de crème fraîche"
"3","38","40 cl de crème fraîche"
"3","40","20 cl de crème fraîche semi-liquide ou épaisse"
"3","43","2 c.à.s de crème fraîche"
"3","55","25 cl de crème fraîche"
"3","67","10 cl de crème fraîche"
"3","68","1 petit pot de crème fraîche"
"3","77","15 cl de crème fraîche"
"3","78","2 dl de crème fraîche"
"3","81","20 cl de crème fraîche"
"3","83","6 c.à.s de crème fraîche"
"3","89","1 c.à.s de crème fraîche"
"3","94","1 dl de crème fraîche"
"3","101","125 g de crème fraîche"
"3","104","20 cl de crème fraîche"
"3","105","4 c.à.s de crème fraîche"
"3","110","20 cl de crème fraîche"
"3","118","20 cl de crème fraîche"
"3","120","1 petit pot de crème fraîche"
"3","123","250 g de crème fraîche"
"3","124","4 c.à.s de crème fraîche allégée"
"3","138","crème fraîche"
"3","139","2 c.à.s de crème fraîche"
"3","146","20 cl de crème fraîche"
"3","158","10 cl de crème fraîche"
"3","161","500 g de crème fraîche épaisse de bonne qualité"
"3","167","crème fraîche"
"3","185","200 g de crème fraîche épaisse"
"3","204","25 cl de crème fraîche"
"3","205","25 cl de crème fraîche"
"3","213","1 c.à.s de crème fraîche"
"3","223","1 c.à.s de crème fraîche"
"3","224","250 g de crème fraîche"
"3","226","10 cl de crème fraîche"
"3","233","20 cl de crème fraîche fleurette"
"3","237","2 c.à.s de crème fraîche"
"3","247","20 cl de crème fraîche"
"3","252","350 g de crème fraîche entière liquide"
"3","254","10 cl de crème fraîche"
"3","257","2 c.à.s de crème fraîche"
"3","259","1 pot de crème fraîche"
"3","267","crème fraîche"
"3","285","20 cl de crème fraîche (un petit berlingot)"
"3","287","50 cl de crème fraîche"
"3","308","1 petit pot de crème fraîche (10cl)"
"3","310","4 c.à.s de crème fraîche"
"3","312","2 c.à.s de crème fraîche"
"3","314","150 g de crème fraîche"
"3","318","25 cl de crème fraîche"
"3","322","3 c.à.s de crème fraîche"
"3","324","2 c.à.s de crème fraîche"
