"idRecipe","nameRecipe","difficulte","prix","quantite","preparationTime","totalTime","image"
"0","Blanquette de veau : recette traditionnelle","très facile","moyen","4 personnes","15 min","2 h 15 min","[""https://assets.afcdn.com/recipe/20190529/93191_w150h150c1cx4330cy2886cxb8660cyb5773.webp"", ""https://assets.afcdn.com/recipe/20230619/143548_w150h150c1cx3072cy1728cxb6144cyb3456.webp"", ""https://assets.afcdn.com/recipe/20131223/2265_w150h150c1cx256cy192cxb512cyb384.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"1","Lasagnes à la bolognaise","moyenne","moyen","8 personnes","30 min","2 h 5 min","[""https://assets.afcdn.com/recipe/20200408/109520_w150h150c1cx1866cy2800cxb3732cyb5600.webp"", ""https://assets.afcdn.com/recipe/20221013/136146_w150h150c1cx3072cy1728cxb6144cyb3456.webp"", ""https://assets.afcdn.com/recipe/20160630/63224_w150h150c1cx1500cy2248.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"2","La Vraie Moussaka Grecque","moyenne","bon marché","4 personnes","","2 h 55 min","[""https://assets.afcdn.com/recipe/20220623/133014_w150h150c1cx620cy1697cxb1414cyb2121.webp"", ""https://assets.afcdn.com/recipe/20221013/136125_w150h150c1cx3072cy1728cxb6144cyb3456.webp"", ""https://assets.afcdn.com/recipe/20180503/79002_w150h150c1cx1944cy1296.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"3","Génoise ultra-rapide et pourtant si aérienne...","facile","bon marché","6 personnes","10 min","30 min","[""https://assets.afcdn.com/recipe/20180726/81587_w150h150c1cx2646cy1808cxb5284cyb3615.webp"", ""https://assets.afcdn.com/recipe/20160401/48369_w150h150c1cx1500cy962.webp"", ""https://assets.afcdn.com/recipe/20160830/48145_w150h150c1cx3000cy2000.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"4","Gratin dauphinois, recette originale et peu chère","très facile","bon marché","5 personnes","30 min","1 h 30 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"5","Ramequins fondants au chocolat","très facile","bon marché","4 personnes","10 min","22 min","[""https://assets.afcdn.com/recipe/20160610/21702_w150h150c1cx2135cy3776cxb4000cyb6000.webp"", ""https://assets.afcdn.com/recipe/20160610/21700_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20130627/21701_w150h150c1cx1250cy1875.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"6","Riz au lait de ma maman","très facile","bon marché","4 personnes","10 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20221007/135811_w150h150c1cx1190cy893cxb2121cyb1414.webp"", ""https://assets.afcdn.com/recipe/20160520/34572_w150h150c1cx1916cy2875.webp"", ""https://assets.afcdn.com/recipe/20160520/34570_w150h150c1cx3000cy2000.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"7","Gratin de courgettes rapide","très facile","bon marché","4 personnes","15 min","30 min","[""https://assets.afcdn.com/recipe/20190529/93185_w150h150c1cx2736cy1824cxb5472cyb3648.webp"", ""https://assets.afcdn.com/recipe/20190529/93181_w150h150c1cx1291cy1937cxb2583cyb3874.webp"", ""https://assets.afcdn.com/recipe/20190529/93184_w150h150c1cx1705cy2558cxb3411cyb5117.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"8","Tiramisu (recette originale)","très facile","bon marché","4 personnes","15 min","15 min","[""https://assets.afcdn.com/recipe/20190529/93097_w150h150c1cx3008cy2008cxb6016cyb4016.webp"", ""https://assets.afcdn.com/recipe/20221013/136181_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20170614/69362_w150h150c1cx2011cy3264cxb3999cyb6000.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"9","Le crumble aux pommes du Chat qui Tousse","très facile","bon marché","6 personnes","25 min","55 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
