"idIngredient","nameIngredient","urlPicture"
"0","cube de bouillon","https:__assets.afcdn.com_recipe_20230303_140910_w120h120c1cx270cy270cxb540cyb540.webp"
"1","carotte","https:__assets.afcdn.com_recipe_20170607_67370_w120h120c1cx350cy350.webp"
"2","oignon jaune","https:__assets.afcdn.com_recipe_20170621_68940_w120h120c1cxb300cyb300.webp"
"3","crème fraîche","https:__assets.afcdn.com_recipe_20170607_67763_w120h120c1cx350cy350.webp"
"4","farine","https:__assets.afcdn.com_recipe_20170607_67682_w120h120c1cx350cy350.webp"
"5","sel","https:__assets.afcdn.com_recipe_20170607_67687_w120h120c1cx350cy350.webp"
"6","poivre","https:__assets.afcdn.com_recipe_20170607_67563_w120h120c1cx350cy350.webp"
"7","blanquette de veau","https:__assets.afcdn.com_recipe_20171201_75710_w120h120c1cx2500cy1572cxb5000cyb3144.webp"
"8","bouillon de poule","https:__assets.afcdn.com_recipe_20170621_68969_w120h120c1cxb700cyb700.webp"
"9","champignon","https:__assets.afcdn.com_recipe_20170607_67739_w120h120c1cx350cy350.webp"
"10","citron","https:__assets.afcdn.com_recipe_20170607_67457_w120h120c1cx350cy350.webp"
"11","jaune d'oeuf","https:__assets.afcdn.com_recipe_20171128_75634_w120h120c1cx1250cy1250cxb2500cyb2500.webp"
"12","vin blanc","https:__assets.afcdn.com_recipe_20170607_67771_w120h120c1cx350cy350.webp"
"13","lasagnes","https:__assets.afcdn.com_recipe_20170607_67588_w120h120c1cx350cy350.webp"
"14","purée de tomate","https:__assets.afcdn.com_recipe_20181023_83358_w120h120c1cx1000cy1000cxb2000cyb2000.webp"
"15","feuille de laurier","https:__assets.afcdn.com_recipe_20170621_68932_w120h120c1cxb700cyb700.webp"
"16","thym","https:__assets.afcdn.com_recipe_20170607_67735_w120h120c1cx350cy350.webp"
"17","fromage râpé","https:__assets.afcdn.com_recipe_20170607_67732_w120h120c1cx1484cy1346.webp"
"18","beurre","https:__assets.afcdn.com_recipe_20201201_115998_w120h120c1cx912cy821cxb1824cyb1643.webp"
"19","ail","https:__assets.afcdn.com_recipe_20170607_67514_w120h120c1cx350cy350.webp"
"20","céleri","https:__assets.afcdn.com_recipe_20170607_67731_w120h120c1cx350cy350.webp"
"21","boeuf haché","https:__assets.afcdn.com_recipe_20170607_67692_w120h120c1cx350cy350.webp"
"22","eau","https:__assets.afcdn.com_recipe_20190308_88958_w120h120c1cx150cy150cxb300cyb300.webp"
"23","vin rouge","https:__assets.afcdn.com_recipe_20170607_67416_w120h120c1cx350cy350.webp"
"24","basilic","https:__assets.afcdn.com_recipe_20170607_67553_w120h120c1cx350cy350.webp"
"25","muscade","https:__assets.afcdn.com_recipe_20170607_67662_w120h120c1cx350cy350.webp"
"26","Parmesan","https:__assets.afcdn.com_recipe_20170607_67344_w120h120c1cx350cy350.webp"
"27","lait","https:__assets.afcdn.com_recipe_20170607_67388_w120h120c1cx350cy350.webp"
"28","aubergine","https:__assets.afcdn.com_recipe_20170607_67479_w120h120c1cx350cy350.webp"
"29","tomate","https:__assets.afcdn.com_recipe_20170607_67459_w120h120c1cx350cy350.webp"
"30","oignon","https:__assets.afcdn.com_recipe_20170607_67621_w120h120c1cx350cy350.webp"
"31","huile d'olive","https:__assets.afcdn.com_recipe_20220114_127365_w120h120c1cx411cy411cxb822cyb822.webp"
"32","miel","https:__assets.afcdn.com_recipe_20170607_67597_w120h120c1cx350cy350.webp"
"33","pomme de terre","https:__assets.afcdn.com_recipe_20170607_67419_w120h120c1cx350cy350.webp"
"34","cannelle","https:__assets.afcdn.com_recipe_20170607_67747_w120h120c1cx350cy350.webp"
"35","sucre","https:__assets.afcdn.com_recipe_20170607_67691_w120h120c1cx350cy350.webp"
"36","levure chimique","https:__assets.afcdn.com_recipe_20170607_67355_w120h120c1cx350cy350.webp"
"37","oeuf","https:__assets.afcdn.com_recipe_20220126_128066_w120h120c1cx1140cy1140cxb2280cyb2280.webp"
"38","crème liquide","https:__assets.afcdn.com_recipe_20170607_67338_w120h120c1cx350cy350.webp"
"39","chocolat noir","https:__assets.afcdn.com_recipe_20181227_85156_w120h120c1cx1200cy1200cxb2400cyb2400.webp"
"40","sucre semoule","https:__assets.afcdn.com_recipe_20170621_68916_w120h120c1cxb700cyb700.webp"
"41","beurre doux","https:__assets.afcdn.com_recipe_20201201_116000_w120h120c1cx912cy821cxb1824cyb1643.webp"
