"idRecipe","nameRecipe","difficulte","prix","quantite","image"
"0","Blanquette de veau : recette traditionnelle","très facile","moyen","4 personnes","['https:__assets.afcdn.com_recipe_20190529_93191_w150h150c1cx4330cy2886cxb8660cyb5773.webp', 'https:__assets.afcdn.com_recipe_20230619_143548_w150h150c1cx3072cy1728cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20131223_2265_w150h150c1cx256cy192cxb512cyb384.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"1","Lasagnes à la bolognaise","moyenne","moyen","8 personnes","['https:__assets.afcdn.com_recipe_20200408_109520_w150h150c1cx1866cy2800cxb3732cyb5600.webp', 'https:__assets.afcdn.com_recipe_20221013_136146_w150h150c1cx3072cy1728cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20160630_63224_w150h150c1cx1500cy2248.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"2","La Vraie Moussaka Grecque","moyenne","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20220623_133014_w150h150c1cx620cy1697cxb1414cyb2121.webp', 'https:__assets.afcdn.com_recipe_20221013_136125_w150h150c1cx3072cy1728cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20180503_79002_w150h150c1cx1944cy1296.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"3","Génoise ultra-rapide et pourtant si aérienne...","facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20180726_81587_w150h150c1cx2646cy1808cxb5284cyb3615.webp', 'https:__assets.afcdn.com_recipe_20160401_48369_w150h150c1cx1500cy962.webp', 'https:__assets.afcdn.com_recipe_20160830_48145_w150h150c1cx3000cy2000.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"4","Gratin dauphinois, recette originale et peu chère","très facile","bon marché","5 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"5","Ramequins fondants au chocolat","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20160610_21702_w150h150c1cx2135cy3776cxb4000cyb6000.webp', 'https:__assets.afcdn.com_recipe_20160610_21700_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20130627_21701_w150h150c1cx1250cy1875.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"6","Riz au lait de ma maman","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20221007_135811_w150h150c1cx1190cy893cxb2121cyb1414.webp', 'https:__assets.afcdn.com_recipe_20160520_34572_w150h150c1cx1916cy2875.webp', 'https:__assets.afcdn.com_recipe_20160520_34570_w150h150c1cx3000cy2000.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"7","Gratin de courgettes rapide","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20190529_93185_w150h150c1cx2736cy1824cxb5472cyb3648.webp', 'https:__assets.afcdn.com_recipe_20190529_93181_w150h150c1cx1291cy1937cxb2583cyb3874.webp', 'https:__assets.afcdn.com_recipe_20190529_93184_w150h150c1cx1705cy2558cxb3411cyb5117.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"8","Tiramisu (recette originale)","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20190529_93097_w150h150c1cx3008cy2008cxb6016cyb4016.webp', 'https:__assets.afcdn.com_recipe_20221013_136181_w150h150c1cx960cy540cxb1920cyb1080.webp', 'https:__assets.afcdn.com_recipe_20170614_69362_w150h150c1cx2011cy3264cxb3999cyb6000.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"9","Le crumble aux pommes du Chat qui Tousse","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
