"idRecipe","step","name"
"0","0","Faire revenir la viande dans un peu de beurre doux jusqu'à ce que les morceaux soient un peu dorés."
"0","1","Saupoudrer de 2 cuillères de farine. Bien remuer."
"0","2","Ajouter 2 ou 3 verres d'eau, les cubes de bouillon, le vin et remuer. Ajouter de l'eau si nécessaire pour couvrir."
"0","3","Couper les carottes en rondelles et émincer les oignons puis les incorporer à la viande, ainsi que les champignons."
"0","4","Laisser mijoter à feu très doux environ 1h30 à 2h00 en remuant."
"0","5","Si nécessaire, ajouter de l'eau de temps en temps."
"0","6","Dans un bol, bien mélanger la crème fraîche, le jaune d’oeuf et le jus de citron. Ajouter ce mélange au dernier moment, bien remuer et servir tout de suite."
"1","0","Faire revenir gousses hachées d'ail et les oignons émincés dans un peu d'huile d'olive."
"1","1","Ajouter la carotte et la branche de céleri hachée puis la viande et faire revenir le tout."
"1","2","Au bout de quelques minutes, ajouter le vin rouge. Laisser cuire jusqu'à évaporation."
"1","3","Ajouter la purée de tomates, l'eau et les herbes.
Saler, poivrer, puis laisser mijoter à feu doux 45 minutes."
"1","4","Préparer la béchamel : faire fondre 100 g de beurre."
"1","5","Hors du feu, ajouter la farine d'un coup."
"1","6","Remettre sur le feu et remuer avec un fouet jusqu'à l'obtention d'un mélange bien lisse."
"1","7","Ajouter le lait peu à peu."
"1","8","Remuer sans cesse, jusqu'à ce que le mélange s'épaississe."
"1","9","Ensuite, parfumer avec la muscade, saler, poivrer. Laisser cuire environ 5 minutes, à feu très doux, en remuant. Réserver."
"1","10","Préchauffer le four à 200°C (thermostat 6-7).
Huiler le plat à lasagnes. Poser une fine couche de béchamel puis des feuilles de lasagnes, de la bolognaise, de la béchamel et du parmesan.
Répéter l'opération 3 fois de suite."
"1","11","Sur la dernière couche de lasagnes, ne mettre que de la béchamel et recouvrir de fromage râpé. Parsemer quelques noisettes de beurre."
"1","12","Enfourner pour environ 25 minutes de cuisson."
"1","13","Déguster"
"2","0","Préparation de la sauce tomate.
Emincer les oignons et les faire blondir dans une petite casserole."
"2","3","Préparation des pommes de terre. 
Eplucher et découper les pommes de terres en fines rondelles."
"2","4","Disposer les rondelles de pommes de terre au fond d'un plat à gratin assez haut, huilé.
Arroser les pommes de terres d'un peu (3 cuillères à soupe) du jus rendu par les tomates qui mijotent."
"2","5","Passer le plat de pommes de terre sous le grill 5 à 15 min selon votre four, pour qu'elles dorent."
"2","6","Maintenant qu'elles ont dégorgé, passer les rondelles d'aubergine à la poêle à feu fort pour les faire griller un peu de chaque côté, réserver."
"2","7","Préparation de la viande. 
Dans un faitout, faire revenir la viande hachée au beurre à feu assez fort, saler, poivrer et retirer l'eau rendue par la viande."
"2","8","Ajouter la sauce tomate-oignons et baisser le feu (très doux)."
"2","9","Sortir le plat de pommes de terres du four et le préchauffer le four à 200°C (thermostat 6-7)."
